"Stock.Name","Jurisdiction","FMP","Science.Center","Regional.Ecosystem","Common.Name","Stock.Area","Assessment.Level","Model.Category","F.Flimit","F.Fmsy","B.Blimit","B.Bmsy","Genus","Species","overfishing","overfished","scientific_name","Mean.Gap","Exposure","Sensitivity","Loo","tmax","tm","M","h","r","Fmsy_over_M","Assessment.Level_scored","Model.Category_scored","status","scored_gap","avg_p_score","avg_s_score","distance","family","phylopic_uuid","Survey.Ecosystem","survey","type","type_and_region"
"Pacific hake - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current","Pacific hake","Pacific Coast",4,6,0.550999999,0.550999999,3.931999922,2.457999945,"Merluccius","productus","Unknown","Unknown","Merluccius productus",NA,NA,NA,2,2,2,3,1,1,1,1,1,NA,NA,1.833333333,1,1.166666667,"Merlucciidae","a1e87ee1-590c-4e06-80b5-04ceeab1b0f0","West Coast","Hake Acoustic_Summer","acoustic-trawl","West Coast acoustic-trawl"
"Pacific hake - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current","Pacific hake","Pacific Coast",4,6,0.550999999,0.550999999,3.931999922,2.457999945,"Merluccius","productus","Unknown","Unknown","Merluccius productus",NA,NA,NA,2,2,2,3,1,1,1,1,1,NA,NA,1.833333333,1,1.166666667,"Merlucciidae","a1e87ee1-590c-4e06-80b5-04ceeab1b0f0","West Coast","Sardine - Hake Acoustic Trawl Survey (SaKe)","bottom trawl","West Coast bottom trawl"
"Bluefish - Atlantic Coast","MAFMC","Bluefish","NEFSC","Northeast Shelf","Bluefish","Atlantic Coast",NA,6,0.635999978,0.635999978,1.197000027,0.598999977,"Pomatomus","saltatrix","No","Yes","Pomatomus saltatrix",0.25,2,3,2,2,2,3,3,3,3,NA,1,3,1,2.571428571,2,1.087967587,"Pomatomidae","287624dd-5b4f-4fa6-aeef-f4d54e33ae61","Northeast Shelf","Bottom Trawl Survey_Fall","bottom trawl","Northeast Shelf bottom trawl"
"Bluefish - Atlantic Coast","MAFMC","Bluefish","NEFSC","Northeast Shelf","Bluefish","Atlantic Coast",NA,6,0.635999978,0.635999978,1.197000027,0.598999977,"Pomatomus","saltatrix","No","Yes","Pomatomus saltatrix",0.25,2,3,2,2,2,3,3,3,3,NA,1,3,1,2.571428571,2,1.087967587,"Pomatomidae","287624dd-5b4f-4fa6-aeef-f4d54e33ae61","Northeast Shelf","Northeast Area Monitoring and Assessment Program (NEAMAP)_Spring (MDMR/VIMS)","bottom trawl","Northeast Shelf bottom trawl"
"Bluefish - Atlantic Coast","MAFMC","Bluefish","NEFSC","Northeast Shelf","Bluefish","Atlantic Coast",NA,6,0.635999978,0.635999978,1.197000027,0.598999977,"Pomatomus","saltatrix","No","Yes","Pomatomus saltatrix",0.25,2,3,2,2,2,3,3,3,3,NA,1,3,1,2.571428571,2,1.087967587,"Pomatomidae","287624dd-5b4f-4fa6-aeef-f4d54e33ae61","Northeast Shelf","CT bottom trawl survey spring and fall","bottom trawl","Northeast Shelf bottom trawl"
"Bluefish - Atlantic Coast","MAFMC","Bluefish","NEFSC","Northeast Shelf","Bluefish","Atlantic Coast",NA,6,0.635999978,0.635999978,1.197000027,0.598999977,"Pomatomus","saltatrix","No","Yes","Pomatomus saltatrix",0.25,2,3,2,2,2,3,3,3,3,NA,1,3,1,2.571428571,2,1.087967587,"Pomatomidae","287624dd-5b4f-4fa6-aeef-f4d54e33ae61","Northeast Shelf","New Jersey DEP spring bottom trawl","bottom trawl","Northeast Shelf bottom trawl"
"Bluefish - Atlantic Coast","MAFMC","Bluefish","NEFSC","Northeast Shelf","Bluefish","Atlantic Coast",NA,6,0.635999978,0.635999978,1.197000027,0.598999977,"Pomatomus","saltatrix","No","Yes","Pomatomus saltatrix",0.25,2,3,2,2,2,3,3,3,3,NA,1,3,1,2.571428571,2,1.087967587,"Pomatomidae","287624dd-5b4f-4fa6-aeef-f4d54e33ae61","Northeast Shelf","North Carolina Pamlico Sound Independent Gillnet Survey","inshore net","Northeast Shelf inshore net"
"Atlantic mackerel - Gulf of Maine / Cape Hatteras","MAFMC","Mackerel, Squid and Butterfish","NEFSC","Northeast Shelf","Atlantic mackerel","Gulf of Maine / Cape Hatteras",4,6,0.856999993,0.856999993,0.246999994,0.123000003,"Scomber","scombrus","Yes","Yes","Scomber scombrus",0.5,NA,NA,3,2,2,2,2,2,3,1,1,3,1,2.166666667,2,1.301708279,"Scombridae","a9e322a9-9cc8-46e1-aef1-bba8838b27e7","Northeast Shelf","Bottom Trawl Survey_Fall","bottom trawl","Northeast Shelf bottom trawl"
"Atlantic mackerel - Gulf of Maine / Cape Hatteras","MAFMC","Mackerel, Squid and Butterfish","NEFSC","Northeast Shelf","Atlantic mackerel","Gulf of Maine / Cape Hatteras",4,6,0.856999993,0.856999993,0.246999994,0.123000003,"Scomber","scombrus","Yes","Yes","Scomber scombrus",0.5,NA,NA,3,2,2,2,2,2,3,1,1,3,1,2.166666667,2,1.301708279,"Scombridae","a9e322a9-9cc8-46e1-aef1-bba8838b27e7","Northeast Shelf","Bottom Trawl Survey_Spring","bottom trawl","Northeast Shelf bottom trawl"
"Atlantic mackerel - Gulf of Maine / Cape Hatteras","MAFMC","Mackerel, Squid and Butterfish","NEFSC","Northeast Shelf","Atlantic mackerel","Gulf of Maine / Cape Hatteras",4,6,0.856999993,0.856999993,0.246999994,0.123000003,"Scomber","scombrus","Yes","Yes","Scomber scombrus",0.5,NA,NA,3,2,2,2,2,2,3,1,1,3,1,2.166666667,2,1.301708279,"Scombridae","a9e322a9-9cc8-46e1-aef1-bba8838b27e7","Northeast Shelf","Northeast Ecosystem Monitoring (EcoMon)_Fall","midwater trawl","Northeast Shelf midwater trawl"
"Atlantic mackerel - Gulf of Maine / Cape Hatteras","MAFMC","Mackerel, Squid and Butterfish","NEFSC","Northeast Shelf","Atlantic mackerel","Gulf of Maine / Cape Hatteras",4,6,0.856999993,0.856999993,0.246999994,0.123000003,"Scomber","scombrus","Yes","Yes","Scomber scombrus",0.5,NA,NA,3,2,2,2,2,2,3,1,1,3,1,2.166666667,2,1.301708279,"Scombridae","a9e322a9-9cc8-46e1-aef1-bba8838b27e7","Northeast Shelf","Northeast Ecosystem Monitoring (EcoMon)_Summer","midwater trawl","Northeast Shelf midwater trawl"
"Scup - Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Scup","Atlantic Coast",NA,6,0.899999976,0.899999976,4.046999931,2.023999929,"Stenotomus","chrysops","No","No","Stenotomus chrysops",1,2,3,3,2,2,2,3,3,3,NA,1,1,1,2.571428571,1.6,0.737342166,"Sparidae","19759b22-303b-451f-b4d8-eb6873346a26","Northeast Shelf","Bottom Trawl Survey_Fall","bottom trawl","Northeast Shelf bottom trawl"
"Scup - Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Scup","Atlantic Coast",NA,6,0.899999976,0.899999976,4.046999931,2.023999929,"Stenotomus","chrysops","No","No","Stenotomus chrysops",1,2,3,3,2,2,2,3,3,3,NA,1,1,1,2.571428571,1.6,0.737342166,"Sparidae","19759b22-303b-451f-b4d8-eb6873346a26","Northeast Shelf","Bottom Trawl Survey_Spring","bottom trawl","Northeast Shelf bottom trawl"
"Scup - Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Scup","Atlantic Coast",NA,6,0.899999976,0.899999976,4.046999931,2.023999929,"Stenotomus","chrysops","No","No","Stenotomus chrysops",1,2,3,3,2,2,2,3,3,3,NA,1,1,1,2.571428571,1.6,0.737342166,"Sparidae","19759b22-303b-451f-b4d8-eb6873346a26","Northeast Shelf","Bottom Trawl Survey_Winter","bottom trawl","Northeast Shelf bottom trawl"
"Scup - Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Scup","Atlantic Coast",NA,6,0.899999976,0.899999976,4.046999931,2.023999929,"Stenotomus","chrysops","No","No","Stenotomus chrysops",1,2,3,3,2,2,2,3,3,3,NA,1,1,1,2.571428571,1.6,0.737342166,"Sparidae","19759b22-303b-451f-b4d8-eb6873346a26","Northeast Shelf","Massachusetts DMF Bottom Trawl_Fall","bottom trawl","Northeast Shelf bottom trawl"
"Scup - Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Scup","Atlantic Coast",NA,6,0.899999976,0.899999976,4.046999931,2.023999929,"Stenotomus","chrysops","No","No","Stenotomus chrysops",1,2,3,3,2,2,2,3,3,3,NA,1,1,1,2.571428571,1.6,0.737342166,"Sparidae","19759b22-303b-451f-b4d8-eb6873346a26","Northeast Shelf","Massachusetts DMF Bottom Trawl_Spring","bottom trawl","Northeast Shelf bottom trawl"
"Scup - Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Scup","Atlantic Coast",NA,6,0.899999976,0.899999976,4.046999931,2.023999929,"Stenotomus","chrysops","No","No","Stenotomus chrysops",1,2,3,3,2,2,2,3,3,3,NA,1,1,1,2.571428571,1.6,0.737342166,"Sparidae","19759b22-303b-451f-b4d8-eb6873346a26","Northeast Shelf","Northeast Area Monitoring and Assessment Program (NEAMAP)_Spring (MDMR/VIMS)","bottom trawl","Northeast Shelf bottom trawl"
"Summer flounder - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Summer flounder","Mid-Atlantic Coast",NA,6,1.029000044,1.029000044,1.654000044,0.827000022,"Paralichthys","dentatus","No","No","Paralichthys dentatus",0.75,NA,NA,2,3,3,3,3,3,3,NA,1,1,1,2.833333333,1.5,0.527046277,"Paralichthyidae","017fbcd1-34bb-42b6-80e2-75adab53987d","Northeast Shelf","Bottom Trawl Survey_Fall","bottom trawl","Northeast Shelf bottom trawl"
"Summer flounder - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Summer flounder","Mid-Atlantic Coast",NA,6,1.029000044,1.029000044,1.654000044,0.827000022,"Paralichthys","dentatus","No","No","Paralichthys dentatus",0.75,NA,NA,2,3,3,3,3,3,3,NA,1,1,1,2.833333333,1.5,0.527046277,"Paralichthyidae","017fbcd1-34bb-42b6-80e2-75adab53987d","Northeast Shelf","Bottom Trawl Survey_Spring","bottom trawl","Northeast Shelf bottom trawl"
